,Species,Unnamed: 0,Weight,Length1,Length2,Length3,Height,Width
0,Bream,17.0,617.8285714285714,30.305714285714288,33.10857142857143,38.354285714285716,15.18321142857143,5.427614285714285
1,Parkki,66.0,154.8181818181818,18.727272727272727,20.345454545454547,22.79090909090909,8.962427272727274,3.2207363636363637
2,Perch,99.5,382.23928571428576,25.735714285714288,27.892857142857142,29.571428571428573,7.861869642857143,4.7457232142857135
3,Pike,136.0,718.7058823529412,42.476470588235294,45.48235294117647,48.71764705882353,7.713770588235294,5.086382352941177
4,Roach,44.5,152.05,20.645,22.275,24.97,6.694795000000001,3.65785
5,Smelt,151.5,11.178571428571429,11.257142857142856,11.921428571428573,13.035714285714286,2.2093714285714285,1.340092857142857
6,Whitefish,57.5,531.0,28.8,31.316666666666666,34.31666666666667,10.027166666666666,5.473050000000001
